Q_36,063,015m,E8,E7,E6,E9,E5,E3,E2,E2,E1,E0
Q_36,063,030m,E3,E5,E2,E1,E4,E7,E0,E0,E6,E9
Q_36,063,045m,E1,E2,E4,E0,E5,E6,E3,E7,E9,E8
Q_36,063,060m,E2,E1,E7,E0,E3,E4,E6,E8,E9,E5
Q_36,063,090m,E2,E1,E0,E5,E7,E6,E3,E4,E8,E9
Q_36,063,120m,E1,E0,E2,E5,E3,E7,E6,E8,E4,E9
Q_36,063,180m,E3,E6,E7,E1,E5,E0,E8,E4,E9,E2
Q_36,063,270m,E3,E2,E1,E5,E4,E6,E7,E8,E9,E0
Q_36,063,360m,E1,E8,E4,E5,E6,E3,E9,E2,E0,E7
Q_36,063,540m,E7,E1,E9,E8,E6,E4,E5,E0,E2,E3
Q_36,063,720m,E6,E5,E4,E0,E8,E3,E1,E9,E7,E2
Q_36,063,1080m,E4,E6,E3,E5,E8,E0,E7,E9,E1,E2
Q_36,063,1440m,E1,E2,E5,E9,E7,E4,E6,E8,E3,E0
Q_36,001,015m,E3,E9,E6,E2,E0,E8,E5,E1,E4,E7
Q_36,001,030m,E0,E5,E4,E3,E9,E6,E1,E7,E8,E2
Q_36,001,045m,E6,E7,E9,E1,E8,E2,E5,E4,E3,E0
Q_36,001,060m,E6,E8,E7,E9,E3,E4,E5,E2,E0,E1
Q_36,001,090m,E3,E0,E6,E7,E4,E2,E1,E8,E5,E9
Q_36,001,120m,E6,E7,E3,E1,E5,E2,E0,E4,E8,E9
Q_36,001,180m,E6,E8,E1,E5,E4,E7,E2,E3,E0,E9
Q_36,001,270m,E5,E2,E7,E1,E3,E6,E8,E4,E0,E9
Q_36,001,360m,E1,E4,E2,E5,E9,E3,E8,E6,E7,E0
Q_36,001,540m,E2,E3,E7,E9,E8,E0,E1,E5,E6,E4
Q_36,001,720m,E2,E0,E5,E1,E6,E3,E9,E8,E4,E7
Q_36,001,1080m,E1,E6,E7,E3,E0,E9,E2,E8,E5,E4
Q_36,001,1440m,E8,E6,E1,E5,E4,E2,E0,E7,E9,E3
